Parcela;Especie;NP;Fuste;CAP;obs
16;Indeterminada ;2334;1;10,9;3,47
16;Indeterminada ;2336;1;15,6;4,97
16;Indeterminada ;2336;2;14,7;4,68
16;tachigali rugosa;2338;1;30,2;9,61
16;tachigali rugosa;2338;2;16,5;5,25
16;Eremanthus incanus;2341;1;22,8;7,26
16;Simarouba versicolor;2358;1;16,7;5,32
16;Indeterminada ;2359;1;11,3;3,60
16;Indeterminada ;2359;2;12,0;3,82
16;Swartzia apetala;2363;1;19,3;6,14
16;Swartzia apetala;2363;2;10,0;3,18
16;Swartzia apetala;2364;1;11,0;3,50
16;Cupania vernalis ;2365;1;17,0;5,41
16;Eremanthus incanus;2367;1;18,0;5,73
16;Indeterminada ;2368;1;12,0;3,82
16;Indeterminada ;2369;1;11,0;3,50
16;Indeterminada ;2369;2;11,8;3,76
16;Indeterminada ;2369;3;9,5;3,02
16;Indeterminada ;2369;4;9,9;3,15
16;Indeterminada ;2370;1;13,0;4,14
16;Indeterminada ;2371;1;;
16;Fabaceae sp.1;2372;1;20,0;6,37
16;Indeterminada ;2374;1;10,6;3,37
16;Gomidesia sellowiana;2375;1;12,8;4,07
16;Indeterminada ;2377;1;14,0;4,46
16;Indeterminada ;2377;2;13,5;4,30
16;Ocotea acyphila;2382;1;21,3;6,78
16;Anacardiaceae1;2384;1;20,4;6,49
16;tachigali rugosa;2390;1;13,0;4,14
16;tachigali rugosa;2390;2;16,7;5,32
16;Gomidesia sellowiana;2391;1;19,0;6,05
16;Gomidesia sellowiana;2392;1;13,0;4,14
16;Xylopia sericea;2396;1;16,0;5,09
16;Indeterminada ;2397;1;12,7;4,04
16;Indeterminada ;2397;2;11,5;3,66
16;Tibouchina candoleana;2399;1;21,5;6,84
16;Tibouchina candoleana;2399;2;20,2;6,43
16;Cupania vernalis ;2400;1;17,2;5,47
16;Gomidesia sellowiana;2402;1;12,0;3,82
16;Tibouchina candoleana;2403;1;16,0;5,09
16;Tibouchina candoleana;2403;2;11,3;3,60
16;Eremanthus incanus;2404;1;18,8;5,98
16;Swartzia apetala;2410;1;20,3;6,46
16;Ocotea acyphila;2420;1;16,5;5,25
16;Indeterminada ;2426;1;13,0;4,14
16;tachigali rugosa;2430;1;25,2;8,02
16;Swartzia apetala;2431;1;17,9;5,70
16;Indeterminada ;2433;1;;
16;Eremanthus incanus;2434;1;14,0;4,46
16;Eremanthus incanus;2436;1;16,0;5,09
16;Eremanthus incanus;2437;1;32,5;10,35
16;Eremanthus incanus;2437;2;30,0;9,55
16;Tibouchina candoleana;2442;1;12,0;3,82
16;Eremanthus incanus;2443;1;19,2;6,11
16;Indeterminada ;2444;1;13,8;4,39
16;Eremanthus incanus;2445;1;15,4;4,90
16;Indeterminada ;2449;1;12,8;4,07
16;Indeterminada ;2449;1;;
16;Indeterminada ;2450;1;9,5;3,02
16;Simarouba versicolor;2455;1;11,8;3,76
16;Indeterminada ;2456;1;11,0;3,50
16;Indeterminada ;2456;2;12,8;4,07
16;Indeterminada ;2457;1;14,5;4,62
16;Indeterminada ;2457;1;15,0;4,77
16;Eremanthus incanus;2464;1;19,0;6,05
16;Ocotea acyphila;2466;1;16,8;5,35
16;Roupala montana ;2471;1;33,0;10,50
16;Roupala montana ;2471;2;15,6;4,97
16;Roupala montana ;2471;3;16,7;5,32
16;Eremanthus incanus;2476;1;17,5;5,57
16;Eremanthus incanus;2477;1;19,0;6,05
16;Indeterminada 2;2479;1;17,0;5,41
16;Indeterminada 2;2481;1;16,5;5,25
16;Eremanthus incanus;2486;1;22,1;7,03
16;Eremanthus incanus;2487;1;16,6;5,28
16;Eremanthus incanus;2490;1;16,4;5,22
16;Tibouchina candoleana;2501;1;15,0;4,77
16;Tibouchina candoleana;2501;2;14,0;4,46
16;Tibouchina candoleana;2501;3;17,0;5,41
16;Tibouchina candoleana;2501;4;18,0;5,73
17;Indeterminada ;223;1;27,0;8,59
17;Indeterminada ;223;2;34,1;10,85
17;Indeterminada ;223;3;28,5;9,07
17;Indeterminada ;224;1;13,5;4,30
17;Indeterminada ;226;1;14,0;4,46
17;Indeterminada ;227;1;12,0;3,82
17;Indeterminada ;228;1;12,7;4,04
17;Indeterminada ;229;1;10,7;3,41
17;Indeterminada ;230;1;25,0;7,96
17;Indeterminada ;231;1;19,0;6,05
17;Indeterminada ;231;2;19,5;6,21
17;Indeterminada ;231;3;25,0;7,96
17;Indeterminada ;231;4;16,6;5,28
17;Indeterminada ;232;1;16,3;5,19
17;Indeterminada ;232;2;10,5;3,34
17;Indeterminada ;233;1;15,6;4,97
17;Indeterminada ;234;1;27,5;8,75
17;Indeterminada ;235;1;14,4;4,58
17;M. amazonica;2500;1;16,7;5,32
17;Indeterminada ;2504;1;17,8;5,67
17;Indeterminada ;2504;1;18,0;5,73
17;Eremanthus incanus;2505;1;14,0;4,46
17;Eremanthus incanus;2507;1;18,3;5,83
17;Indeterminada ;2515;1;9,9;3,15
17;Indeterminada ;2518;1;12,3;3,92
17;Tibouchina candoleana;2519;1;16,0;5,09
17;Vochysia tucanorum;2520;1;24,0;7,64
17;Vochysia tucanorum;2520;2;32,0;10,19
17;Tibouchina candoleana;2521;1;12,1;3,85
17;Tibouchina candoleana;2521;3;13,2;4,20
17;Eremanthus incanus;2522;1;15,6;4,97
17;Indeterminada ;2523;1;16,9;5,38
17;Indeterminada ;2531;1;;
17;Eremanthus incanus;2532;1;11,0;3,50
17;Casearia sylvestris;2547;1;15,0;4,77
17;Indeterminada ;2551;1;18,0;5,73
17;Tibouchina candoleana;2553;1;;
17;Swartzia apetala;2554;1;16,0;5,09
17;Roupala montana ;2555;1;12,0;3,82
17;Siphoneugena densiflora;2557;1;22,6;7,19
17;M. amazonica;2558;1;15,8;5,03
17;Indeterminada ;2559;1;10,0;3,18
17;Indeterminada ;2560;1;;
17;tachigali rugosa;2564;1;71,0;22,60
17;Indeterminada ;2568;1;12,9;4,11
17;Indeterminada ;2568;2;11,2;3,57
17;Eremanthus incanus;2569;1;17,5;5,57
17;Swartzia apetala;2581;1;10,8;3,44
17;Indeterminada ;2582;1;20,0;6,37
17;Indeterminada ;2582;2;16,0;5,09
17;Indeterminada ;2582;1;10,0;3,18
17;Indeterminada ;2582;2;12,8;4,07
17;Indeterminada ;2585;1;12,0;3,82
17;Simarouba versicolor;2587;1;20,0;6,37
17;Simarouba versicolor;2587;2;16,0;5,09
17;Indeterminada ;2588;1;;
17;Simarouba versicolor;2590;1;14,0;4,46
17;Indeterminada ;2591;1;16,3;5,19
17;Indeterminada ;2592;1;15,0;4,77
17;Indeterminada ;2592;2;13,0;4,14
17;Roupala montana ;2593;1;14,4;4,58
17;Roupala montana ;2593;2;12,8;4,07
17;Roupala montana ;2593;3;20,2;6,43
17;Eremanthus incanus;2594;1;16,0;5,09
17;Simarouba versicolor;2596;1;17,5;5,57
17;Indeterminada ;2597;1;11,1;3,53
17;Indeterminada ;2598;1;;
17;Rapanea ferruginea ;2599;1;18,6;5,92
17;Rapanea ferruginea ;2599;2;11,0;3,50
17;Roupala montana ;2600;1;17,6;5,60
17;Roupala montana ;2600;2;39,0;12,41
17;Tibouchina candoleana;2602;1;18,0;5,73
17;Tibouchina candoleana;2602;2;19,5;6,21
17;Tibouchina candoleana;2602;3;11,7;3,72
17;Tibouchina candoleana;2602;4;13,2;4,20
17;Tibouchina candoleana;2602;5;19,7;6,27
17;Vochysia tucanorum;2620;1;11,1;3,53
17;Xylopia sericea;2621;1;14,8;4,71
17;Xylopia sericea;2621;2;22,7;7,23
17;Xylopia sericea;2621;3;17,5;5,57
17;Eremanthus incanus;2622;1;18,4;5,86
17;Indeterminada ;2623;1;12,5;3,98
17;Indeterminada ;2623;1;12,0;3,82
17;Eremanthus incanus;2625;1;15,3;4,87
17;Indeterminada ;2626;1;;
