"area","transect","tree","common_name","scientific_name","family_name","WSD_09","DBH_09","BA_09","AGB_09","area_sampled_09","BA_AS_09","AGB_AS_09","type_09","canopy_09","light_09","dead_09","class_09","X_09","Y_09","Hcom_09","Htot_09","RN_09","RS_09","RE_09","RW_09","WSD_11","DBH_11","BA_11","AGB_11","area_sampled_11","BA_AS_11","AGB_AS_11","type_11","canopy_11","light_11","dead_11","class_11","X_11","Y_11","Hcom_11","Htot_11","RN_11","RS_11","RE_11","RW_11","VOL","total.area","transect.area"
"DUC_A01","T05","1733","Abiurana","Pouteria gongrijpii","Sapotaceae",0.8,21.9,0.037668481,0.458557807,0.219,0.172002198,2.093871264,"O","C",NA,"A",NA,0.3,369.74,16.46,23.48,NA,NA,NA,NA,0.8,22.2,0.038707563,"0.415617492",0.222,0.174358392,"1.872150864","O","S",3,"A",NA,0.3,369.74,12.14,20.71,2.1,2.3,2.6,2.5,0.442853467347286,50,1000
"DUC_A01","T05","1734","Fava","Parkia sp,","Fabaceae",0.45,5.6,0.002463009,0.003052778,0.056,0.043982297,0.0545139,"O","S",3,"A",NA,0.96,370.2,1.61,4.25,NA,NA,NA,NA,0.45,5.7,0.002551759,"0.003363709",0.057,0.044767695,"0.059012442","O","S",3,"A",NA,0.96,370.2,1.53,4.52,0.6,1,-2,2.8,0.0226354298455876,50,1000
"DUC_A01","T05","1735","NI","NI","NI",0.28,31.5,0.077931133,0.113412348,0.315,0.247400421,0.3600392,"O","S",NA,"D",5,1.73,375.65,NA,10.28,NA,NA,NA,NA,0.28,31.5,0.077931133,"0.09745015",0.315,0.247400421,"0.309365556","O",NA,NA,"D",5,1.73,375.65,NA,8.54,NA,NA,NA,NA,0.951953845343176,50,1000
"DUC_A01","T05","1736","Arataciu","Sagotia racemosa","Euphorbiaceae",0.58,7.6,0.00453646,0.011697608,0.076,0.05969026,0.153915899,"O","S",2,"A",NA,0.31,381.37,1.83,6.86,NA,NA,NA,NA,0.58,7.8,0.004778362,"0.025379154",0.078,0.061261057,"0.325373771","O","S",3,"A",NA,0.31,381.37,10.83,14.13,1.7,1.1,1.4,2.1,0.0449493484021956,50,1000
"DUC_A01","T05","1737","Breu","Protium hepytaphillum ","Burseraceae",0.63,9.5,0.007088218,0.045407594,0.095,0.074612826,0.477974669,"O","C",2,"A",NA,0.75,383.21,13.09,15.69,NA,NA,NA,NA,0.63,9.8,0.007542964,"0.047027243",0.098,0.07696902,"0.479869828","O","S",3,"A",NA,0.75,383.21,12.5,15.27,1.4,1,0.9,0.8,0.0740525454254769,50,1000
"DUC_A01","T05","1738","NI","NI","NI",0.58,6.6,0.003421194,0.003837655,0.066,0.051836279,0.058146283,"O","S",NA,"D",3,0.47,384.49,NA,3.07,NA,NA,NA,NA,0.58,6.6,0.003421194,"0",0.066,0.051836279,"0","O",NA,NA,"D",3,0.47,384.49,NA,0,NA,NA,NA,NA,0.0311920083330769,50,1000
"DUC_A01","T05","1739","Marupa","Simarouba amara","Simaroubaceae",0.38,14.6,0.016741547,0.074006786,0.146,0.114668132,0.506895794,"O","C",2,"A",NA,1.15,398.67,10.11,17.95,NA,NA,NA,NA,0.38,14.8,0.017203361,"0.069100115",0.148,0.116238928,"0.46689267","O","S",2,"A",NA,1.15,398.67,12.82,16.31,2.6,2.6,2.5,1.9,0.182439947680143,50,1000
"DUC_A01","T05","1740","Urucurana","Sloanea guianensis","Elaeocarpaceae",0.82,18.9,0.028055208,0.240038619,0.189,0.148440253,1.270045602,"O","S",3,"A",NA,1.08,410.08,6.48,16.1,NA,NA,NA,NA,0.82,19,0.028352874,"0.223299135",0.19,0.149225651,"1.175258604","O","S",3,"A",NA,1.08,410.08,9.67,14.82,4.8,2.9,4.6,2.1,0.315071607273551,50,1000
"DUC_A01","T05","1741","Sucupira Preta","Bowdichia nitida","Fabaceae",0.81,13.7,0.014741138,0.146949766,0.137,0.107599548,1.072626033,"O","C",2,"A",NA,0.57,416.39,12.83,18.99,NA,NA,NA,NA,0.81,13.9,0.015174678,"0.13247217",0.139,0.109170345,"0.953037195","O","S",3,"A",NA,0.57,416.39,14.85,16.63,1.1,2.3,1.8,2,0.15904738083283,50,1000
"DUC_A01","T05","1742","NI","NI","NI",0.64,11.8,0.010935884,0.058376804,0.118,0.092676983,0.494718682,"O","S",3,"A",NA,1.18,441.76,6.03,12.87,NA,NA,NA,NA,0.45,11.8,0.010935884,"0",0.118,0.092676983,"0","O",NA,NA,"D",4,1.18,441.76,0,0,NA,NA,NA,NA,0.111159754747499,50,1000
"DUC_A01","T05","1743","Marupa","Simarouba amara","Simaroubaceae",0.38,31,0.075476764,0.528075477,0.31,0.243473431,1.703469282,"O","C",1,"A",NA,1.46,443.17,25.82,28.41,NA,NA,NA,NA,0.38,32.9,0.085012283,"0.615936362",0.329,0.258395996,"1.872146996","O","D",1,"A",NA,1.46,443.17,23.65,29.42,2.6,5.6,2.3,5.8,1.04693856945782,50,1000
